Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
ENGIFP,1/16/2018,Corporates,Industrial,Power Generation,#N/A Field Not Applicable,1/10/2018,PERP/CALL,EUR,30.76919937,46.15380096,1224360000,VARIABLE,BBB-,BBB-,Baa3,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
PAPREC,3/29/2018,Corporates,Industrial,Waste & Environment Services & Equipment,3/31/2025,3/15/2018,CALLABLE,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,706715250,FIXED,B,B+,B2,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
FIBRBZ,1/17/2017,Corporates,Industrial,Forest & Paper Products Manufacturing,1/17/2027,1/11/2017,AT MATURITY,USD,22.22220039,66.66670227,700000000,FIXED,BBB-,BBB-,#N/A N/A,CAYMAN ISLANDS,#N/A N/A,#N/A N/A,#N/A N/A
MEXCAT,9/20/2017,Corporates,Industrial,Transportation & Logistics,7/31/2047,9/13/2017,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,3000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
SUZANO,7/14/2016,Corporates,Industrial,Forest & Paper Products Manufacturing,7/14/2026,7/7/2016,AT MATURITY,USD,22.22220039,66.66670227,700000000,FIXED,BBB-,BBB-,#N/A N/A,AUSTRIA,#N/A N/A,#N/A N/A,#N/A N/A
PAPREC,3/29/2018,Corporates,Industrial,Waste & Environment Services & Equipment,3/31/2025,3/12/2018,CALLABLE,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,276540750,FLOATING,NR,B+,WR,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
NDXGR,2/2/2018,Corporates,Industrial,Renewable Energy,2/1/2023,1/23/2018,CALLABLE,EUR,16.66670036,#N/A N/A,342905750,FIXED,B-,B-,B3,GERMANY,200.3922311,4.855571529,2.648293741
RECLIN,7/7/2017,Corporates,Financial,Commercial Finance,7/7/2027,6/29/2017,AT MATURITY,USD,0,0,450000000,FIXED,BBB-,#N/A N/A,Baa3,INDIA,#N/A N/A,#N/A N/A,#N/A N/A
TJRTGC,3/22/2018,Corporates,Industrial,Industrial Other,6/22/2022,2/28/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,492108000,FIXED,BBB+,#N/A N/A,Baa1,BRITISH VIRGIN,#N/A N/A,#N/A N/A,#N/A N/A
MEXCAT,9/29/2016,Corporates,Industrial,Transportation & Logistics,10/31/2026,9/22/2016,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,1000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
AAPL,2/23/2016,Corporates,Industrial,Communications Equipment,2/23/2023,2/16/2016,CALLABLE,USD,28.57139969,85.71430206,1500000000,FIXED,AA+,AA+,Aa1,UNITED STATES,310.5585484,3.415583951,6.378428764
IBESM,11/22/2017,Corporates,Industrial,Utilities,#N/A Field Not Applicable,11/14/2017,PERP/CALL,EUR,35.71429825,71.4285965,1179510000,VARIABLE,BBB-,BBB-,Baa3,NETHERLANDS,126.8402222,456.7204707,407.7356102
MEXCAT,9/20/2017,Corporates,Industrial,Transportation & Logistics,4/30/2028,9/13/2017,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,1000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
KLAB,9/19/2017,Corporates,Industrial,Containers & Packaging,9/19/2027,9/12/2017,AT MATURITY,USD,7.692309856,53.84619904,500000000,FIXED,BB+,BB+,#N/A N/A,LUXEMBOURG,#N/A N/A,#N/A N/A,#N/A N/A
ISPIM,6/27/2017,Corporates,Bank,Banks,6/27/2022,6/16/2017,AT MATURITY,EUR,36.84209824,73.68419647,565590000,FIXED,BBB,BBB,Baa1,ITALY,268.6676974,6.007208125,1.736367436
GCLNE,1/30/2018,Corporates,Industrial,Power Generation,1/30/2021,1/23/2018,AT MATURITY,USD,#N/A N/A,#N/A N/A,500000000,EXCHANGED,NR,NR,WR,BERMUDA,#N/A N/A,#N/A N/A,#N/A N/A
ORSTED,11/24/2017,Corporates,Industrial,Power Generation,11/24/3017,11/16/2017,CALLABLE,EUR,22.22220039,66.66670227,596380000,VARIABLE,BB+,BB+,Baa3,DENMARK,122.5790329,39.12185201,317.5271079
AZUPOE,8/3/2017,Corporates,Industrial,Power Generation,11/3/2022,7/27/2017,CALLABLE,USD,11.1111002,55.55559921,500000000,FIXED,BB-,#N/A N/A,Ba2,MAURITIUS,359.0348744,0.048850132,1.046281019
EDF,10/13/2015,Corporates,Industrial,Power Generation,10/13/2025,10/7/2015,CALLABLE,USD,44.44440079,27.77779961,1250000000,FIXED,BBB+,BBB+,A3,FRANCE,909.4155844,405.7597311,169.5520581
STAREN,4/24/2018,Corporates,Industrial,Power Generation,4/24/2033,4/17/2018,CALL/SINK,USD,25,50,580000000,FIXED,BB-,#N/A N/A,Ba3,BRITISH VIRGIN,334.2539519,1493.250277,1196.122169
WHMTR,12/5/2018,Corporates,Industrial,Industrial Other,#N/A Field Not Applicable,11/21/2018,PERP/CALL,USD,#N/A N/A,#N/A N/A,400000000,VARIABLE,A-,#N/A N/A,A3,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
SWIPRO,1/10/2018,Corporates,Industrial,Real Estate,1/10/2028,1/3/2018,AT MATURITY,USD,33.33330154,41.66669846,500000000,FIXED,A,#N/A N/A,A2,HONG KONG,639.372154,16.23211589,34.10435717
AAPL,6/20/2017,Corporates,Industrial,Communications Equipment,6/20/2027,6/13/2017,CALLABLE,USD,28.57139969,85.71430206,1000000000,FIXED,AA+,AA+,Aa1,UNITED STATES,310.5585484,3.415583951,6.378428764
IBESM,3/26/2018,Corporates,Industrial,Utilities,#N/A Field Not Applicable,3/19/2018,PERP/CALL,EUR,35.71429825,71.4285965,871101000,VARIABLE,BBB-,BBB-,Baa3,NETHERLANDS,126.8402222,456.7204707,407.7356102
CENVHL,9/11/2018,Corporates,Industrial,Waste & Environment Services & Equipment,9/11/2021,9/4/2018,AT MATURITY,USD,#N/A N/A,#N/A N/A,300000000,FIXED,NR,#N/A N/A,#N/A N/A,CAYMAN ISLANDS,#N/A N/A,#N/A N/A,#N/A N/A
BNP,12/1/2016,Corporates,Bank,Diversified Banks,6/1/2022,11/24/2016,AT MATURITY,EUR,42.85710144,64.28569794,531270000,FIXED,A+,A+,Aa3,FRANCE,#N/A N/A,4.691934006,1.463239564
CMPCCI,4/4/2017,Corporates,Industrial,Forest & Paper Products Manufacturing,4/4/2027,3/30/2017,AT MATURITY,USD,#N/A N/A,#N/A N/A,500000000,FIXED,BBB-,BBB-,Baa3,CHILE,#N/A N/A,#N/A N/A,#N/A N/A
ORSTED,11/24/2017,Corporates,Industrial,Power Generation,11/26/2029,11/16/2017,CALLABLE,EUR,22.22220039,66.66670227,894570000,FIXED,BBB+,BBB+,Baa1,DENMARK,122.5790329,39.12185201,317.5271079
ACSSCE,4/20/2018,Corporates,Industrial,Industrial Other,4/20/2026,4/4/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,922260000,FIXED,NR,BBB-,#N/A N/A,SPAIN,#N/A N/A,#N/A N/A,#N/A N/A
VWSDC,3/11/2015,Corporates,Industrial,Renewable Energy,3/11/2022,3/4/2015,CALLABLE,EUR,28.57139969,50,526585000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,DENMARK,117.5523349,4.926108374,2.484852611
GFCFP,6/30/2017,Corporates,REIT,Real Estate,6/30/2022,6/27/2017,AT MATURITY,EUR,45.45449829,63.63639832,570625000,FLOATING,A-,A-,A3,FRANCE,#N/A N/A,18.46277652,28.74698792
BRFSBZ,6/3/2015,Corporates,Industrial,Food & Beverage,6/3/2022,5/29/2015,AT MATURITY,EUR,20,90,562745000,FIXED,BB-,BB-,Ba2,BRAZIL,57.36692075,12.05717311,4.625754579
POWFIN,12/6/2017,Corporates,Financial,Commercial Finance,12/6/2027,11/28/2017,AT MATURITY,USD,14.28569984,28.57139969,400000000,FIXED,BBB-,NR,Baa3,INDIA,#N/A N/A,#N/A N/A,#N/A N/A
